Token,LOC,PER,ORG,MISC
toursdeslasrivi,,,,
re,,,,
sonsretrouvaitslesm,,,,
mesrideausdespeuplierssp,,,,
les,,,,
sLascampagnes,,,,
taitstoutesvide,,,,
sIlsysavaitsdansslescielsdespetitssnuagessblancssarr,,,,
t,,,,
s,,,,
s,,,,
setsl,,,,
ennui,,,,
svaguementsr,,,,
pandu,,,,
ssemblaitsalanguirslasmarchesdusbateausetsrendresl,,,,
aspectsdessvoyageurssplussinsignifiantsencore,,,,
ss,,,,
spartsquelquessbourgeois,,,,
sauxsPremi,,,,
res,,,,
sc,,,,
taientsdessouvriers,,,,
sdessgenssdesboutiquesavecsleurssfemmessetsleurssenfants,,,,
sCommesonsavaitscoutumesalorssdessesv,,,,
tirssordidementsensvoyage,,,,
spresquestoussportaientsdesvieillesscalottessgrecquessousdesschapeauxsd,,,,
teints,,,,
sdesmaigresshabitssnoirs,,,,
sr,,,,
p,,,,
ssparslesfrottementsdusbureau,,,,
sousdessredingotessouvrantslascapsulesdesleurssboutonsspoursavoirstropsservisausmagasins,,,,
s,,,,
setsl,,,,
squelquesgilets,,,,
sch,,,,
leslaissaitsvoirsuneschemisesdescalicot,,,,
smacul,,,,
esdescaf,,,,
s,,,,
sdess,,,,
pinglessdeschrysocalespiquaientsdesscravatessenslambeauxs,,,,
sdesssous,,,,
piedsscousussretenaientsdesschaussonssdeslisi,,,,
res,,,,
sdeuxsoustroissgredinssquistenaientsdessbambouss,,,,
sgansesdescuirslan,,,,
aientsdessregardssobliques,,,,
setsdessp,,,,
ressdesfamillesouvraientsdesgrossyeux,,,,
sensfaisantsdessquestions,,,,
sIlsscausaientsdebout,,,,
sousbiensaccroupisssursleurssbagagess,,,,
sd,,,,
autressdormaientsdanssdesscoinss,,,,
splusieurssmangeaient,,,,
sLesponts,,,,
taitssalisparsdess,,,,
calessdesnoix,,,,
sdessboutssdescigares,,,,
sdesspeluressdespoires,,,,
sdessd,,,,
tritussdescharcuteriesapport,,,,
esdanssduspapiers,,,,
stroiss,,,,
b,,,,
nistes,,,,
sensblouse,,,,
sstationnaientsdevantslascantines,,,,
sunsjoueursdesharpesenshaillonsssesreposait,,,,
saccoud,,,,
ssurssonsinstruments,,,,
sonsentendaitsparsintervallesslesbruitsduscharbonsdesterresdansslesfourneau,,,,
suns,,,,
clatsdesvoix,,,,
sunsrires,,,,
s,,,,
setslescapitaine,,,,
ssurslaspasserelle,,,,
smarchaitsd,,,,
unstambours,,,,
sl,,,,
autre,,,,
ssansss,,,,
arr,,,,
ter,,,,
sFr,,,,
d,,,,
ric,,,,
spoursrejoindressasplace,,,,
spoussaslasgrillesdessPremi,,,,
res,,,,
sd,,,,
rangeasdeuxschasseurssavecsleursschiens,,,,
ssCesfutscommesunesapparitions,,,,
ssElles,,,,
taitsassise,,,,
sausmilieusdusbanc,,,,
stoutesseules,,,,
sousdusmoinssilsnesdistinguaspersonne,,,,
sdanssl,,,,
blouissementsquesluisenvoy,,,,
rentssessyeux,,,,
sEnsm,,,,
mestempssqu,,,,
ilspassait,,,,
selleslevaslast,,,,
tes,,,,
silsfl,,,,
chitsinvolontairementsless,,,,
pauless,,,,
set,,,,
squandsilssesfutsmissplussloin,,,,
sdusm,,,,
mesc,,,,
t,,,,
silslasregarda,,,,
ssEllesavaitsunslargeschapeausdespaille,,,,
savecsdessrubanssrosessquispalpitaientsausvent,,,,
sderri,,,,
reselle,,,,
sSessbandeauxsnoirs,,,,
scontournantslaspointesdessessgrandsssourcils,,,,
sdescendaientstr,,,,
ssbassetssemblaientspressersamoureusementsl,,,,
ovalesdessasfigure,,,,
sSasrobesdesmousselinesclaire,,,,
stachet,,,,
esdespetitsspois,,,,
ssesr,,,,
pandaits,,,,
splissnombreux,,,,
sElles,,,,
taitsenstrainsdesbrodersquelqueschoses,,,,
setssonsnezsdroit,,,,
ssonsmenton,,,,
stoutessaspersonnessesd,,,,
coupaitssurslesfondsdesl,,,,
airsbleu,,,,
ssCommesellesgardaitslasm,,,,
mesattitude,,,,
silsfitsplusieursstourssdesdroitesetsdesgauchespoursdissimulerssasman,,,,
uvres,,,,
spuissilssesplantastoutspr,,,,
ssdessonsombrelle,,,,
spos,,,,
escontreslesbanc,,,,
setsilsaffectaitsd,,,,
observersuneschaloupessurslasrivi,,,,
re,,,,
ssJamaissilsn,,,,
avaitsvuscettessplendeursdessaspeausbrune,,,,
slass,,,,
ductionsdessastaille,,,,
sniscettesfinessesdessdoigtssqueslaslumi,,,,
restraversait,,,,
sIlsconsid,,,,
raitssonspaniers,,,,
souvragesavecs,,,,
bahissement,,,,
scommesuneschosesextraordinaire,,,,
sQuelss,,,,
taientssonsnom,,,,
ssasdemeure,,,,
ssasvie,,,,
ssonspass,,,,
s,,,,
sIlssouhaitaitsconna,,,,
treslessmeublessdessaschambre,,,,
stoutesslessrobessqu,,,,
ellesavaitsport,,,,
es,,,,
slessgenssqu,,,,
ellesfr,,,,
quentaits,,,,
setslesd,,,,
sirsdeslaspossessionsphysiquesm,,,,
mesdisparaissaitssoussunesenviesplussprofonde,,,,
sdanssunescuriosit,,,,
sdouloureusesquisn,,,,
avaitspassdeslimites,,,,
ssUnesn,,,,
gresse,,,,
scoiff,,,,
esd,,,,
unsfoulard,,,,
ssespr,,,,
senta,,,,
senstenantsparslasmainsunespetitesfille,,,,
sd,,,,
j,,,,
sgrande,,,,
sL,,,,
enfant,,,,
sdontslessyeuxsroulaientsdesslarmes,,,,
svenaitsdess,,,,
veiller,,,,
sElleslaspritssurssessgenoux,,,,
s,,,,
sMademoisellesn,,,,
taitspasssage,,,,
squoiqu,,,,
ellese,,,,
tsseptsanssbient,,,,
ts,,,,
ssasm,,,,
resnesl,,,,
aimeraitspluss,,,,
sonsluispardonnaitstropssesscaprices,,,,
s,,,,
sEtsFr,,,,
d,,,,
ricssesr,,,,
jouissaitsd,,,,
entendrescesschoses,,,,
scommess,,,,
ilse,,,,
tsfaitsunesd,,,,
couverte,,,,
sunesacquisition,,,,
ssIlslassupposaitsd,,,,
originesandalouse,,,,
scr,,,,
olespeut,,,,
tres,,,,
sellesavaitsramen,,,,
sdess,,,,
lesscettesn,,,,
gressesavecselles,,,,
ssCependant,,,,
sunslongsch,,,,
les,,,,
sbandessviolettess,,,,
taitsplac,,,,
sderri,,,,
ressonsdos,,,,
ssurslesbordagesdescuivre,,,,
sEllesavaitsd,,,,
sbiensdessfois,,,,
sausmilieusdeslasmer,,,,
sdurantslesssoirsshumides,,,,
sensenvelopperssastaille,,,,
ss,,,,
enscouvrirslesspieds,,,,
sdormirsdedanss,,,,
sMais,,,,
sentra,,,,
n,,,,
sparslessfranges,,,,
silsglissaitspeus,,,,
speu,,,,
silsallaitstombersdanssl,,,,
eau,,,,
sFr,,,,
d,,,,
ricsfitsunsbondsetslesrattrapa,,,,
sEllesluisdits,,,,
ss,,,,
sJesvoussremercie,,,,
smonsieur,,,,
s,,,,
ssLeurssyeuxssesrencontr,,,,
rent,,,,
ss,,,,
sMasfemme,,,,
ses,,,,
tuspr,,,,
tes,,,,
s,,,,
scriaslessieursArnoux,,,,
sapparaissantsdansslescapotsdesl,,,,
escalier,,,,
ssMllesMarthescourutsversslui,,,,
set,,,,
scramponn,,,,
es,,,,
ssonscou,,,,
sellestiraitssessmoustaches,,,,
sLesssonssd,,,,
unesharpesretentirent,,,,
sellesvoulutsvoirslasmusiques,,,,
setsbient,,,,
tslesjoueursd,,,,
instrument,,,,
samen,,,,
sparslasn,,,,
gresse,,,,
sentrasdansslessPremi,,,,
res,,,,
sArnouxslesreconnutspoursunsanciensmod,,,,
les,,,,
silslestutoya,,,,
scesquissurpritslessassistants,,,,
sEnfinslesharpistesrejetassesslongsscheveuxsderri,,,,
ressess,,,,
paules,,,,
s,,,,
tenditslessbrassetssesmits,,,,
sjouer,,,,
ssC,,,,
taitsunesromancesorientale,,,,
so,,,,
sils,,,,
taitsquestionsdespoignards,,,,
sdesfleurssetsd,,,,
toiles,,,,
sL,,,,
hommesenshaillonsschantaitscelasd,,,,
unesvoixsmordantes,,,,
slessbattementssdeslasmachinescoupaientslasm,,,,
lodies,,,,
sfaussesmesures,,,,
silspin,,,,
aitsplussforts,,,,
slesscordessvibraient,,,,
setsleursssonssm,,,,
talliquesssemblaientsexhalersdesssanglots,,,,
setscommeslasplaintesd,,,,
unsamoursorgueilleuxsetsvaincu,,,,
sDessdeuxsc,,,,
t,,,,
ssdeslasrivi,,,,
re,,,,
sdessboisss,,,,
inclinaientsjusqu,,,,
ausbordsdesl,,,,
eaus,,,,
sunscourantsd,,,,
airsfraisspassaits,,,,
sMmesArnouxsregardaitsausloinsd,,,,
unesmani,,,,
resvague,,,,
sQuandslasmusiquess,,,,
arr,,,,
ta,,,,
sellesremuaslesspaupi,,,,
ressplusieurssfois,,,,
scommessisellessortaitsd,,,,
unssonge,,,,
ssLesharpistess,,,,
approchasd,,,,
eux,,,,
shumblement,,,,
sPendantsqu,,,,
Arnouxscherchaitsdeslasmonnaie,,,,
sFr,,,,
d,,,,
ricsallongeasversslascasquettessasmainsferm,,,,
e,,,,
set,,,,
sl,,,,
ouvrantsavecspudeur,,,,
silsysd,,,,
posasunslouissd,,,,
or,,,,
sCesn,,,,
taitspasslasvanit,,,,
squisJespoussaits,,,,
sfairescettesaum,,,,
nesdevantselle,,,,
smaissunespens,,,,
esdesb,,,,
n,,,,
dictionso,,,,
silsl,,,,
associait,,,,
sunsmouvementsdesc,,,,
urspresquesreligieux,,,,
ssArnoux,,,,
sensluismontrantsleschemin,,,,
sl,,,,
engageascordialements,,,,
sdescendre,,,,
sFr,,,,
d,,,,
ricsaffirmasqu,,,,
ilsvenaitsdesd,,,,
jeuners,,,,
silssesmouraitsdesfaim,,,,
sauscontraires,,,,
setsilsnesposs,,,,
daitsplussunscentimesausfondsdessasbourse,,,,
ssEnsuitesilssongeasqu,,,,
ilsavaitsbienslesdroit,,,,
scommesunsautre,,,,
sdessestenirsdansslaschambre,,,,
ssAutoursdesstablessrondes,,,,
sdessbourgeoissmangeaient,,,,
sunsgar,,,,
onsdescaf,,,,
scirculaits,,,,
sM,,,,
setsMmesArnouxs,,,,
taientsdansslesfond,,,,
s,,,,
sdroites,,,,
silss,,,,
assitssurslaslonguesbanquettesdesvelours,,,,
sayantsramass,,,,
sunsjournalsquissestrouvaitsl,,,,
ssIlssdevaient,,,,
s,,,,
sMontereau,,,,
sprendreslasdiligencesdesCh,,,,
lons,,,,
sLeursvoyagesensSuissesdureraitsunsmois,,,,
sMmesArnouxsbl,,,,
massonsmarisdessasfaiblessespourssonsenfant,,,,
sIlschuchotasdansssonsoreille,,,,
sunesgracieuset,,,,
ssanssdoute,,,,
scarsellessourit,,,,
sPuissilssesd,,,,
rangeaspoursfermersderri,,,,
ressonscouslesrideausdeslasfen,,,,
tre,,,,
ssLesplafond,,,,
sbassetstoutsblanc,,,,
srabattaitsuneslumi,,,,
rescrue,,,,
sFr,,,,
d,,,,
ric,,,,
sensface,,,,
sdistinguaitsl,,,,
ombresdessesscils,,,,
sEllestrempaitssessl,,,,
vressdansssonsverre,,,,
scassaitsunspeusdescro,,,,
tesentressessdoigtss,,,,
slesm,,,,
daillonsdeslapis,,,,
lazuli,,,,
sattach,,,,
sparsunescha,,,,
nettesd,,,,
ors,,,,
ssonspoignet,,,,
sdestempss,,,,
sautressonnaitscontressonsassiette,,,,
sCeuxsquis,,,,
taientsl,,,,
spourtant,,,,
sn,,,,
avaientspassl,,,,
airsdeslasremarquer,,,,
ssQuelquefois,,,,
sparslesshublots,,,,
sonsvoyaitsglisserslesflancsd,,,,
unesbarquesquisaccostaitslesnavirespoursprendresousd,,,,
posersdessvoyageurs,,,,
sLessgenssattabl,,,,
sssespenchaientsauxsouverturessetsnommaientslesspayssriverains,,,,
ssArnouxssesplaignaitsdeslascuisines,,,,
silssesr,,,,
criasconsid,,,,
rablementsdevantsl,,,,
addition,,,,
setsilslasfitsr,,,,
duire,,,,
sPuissilsemmenaslesjeuneshommes,,,,
sl,,,,
avantsdusbateauspoursboiresdessgrogs,,,,
sMaissFr,,,,
d,,,,
ricss,,,,
ensretournasbient,,,,
tssousslastente,,,,
so,,,,
sMmesArnouxs,,,,
taitsrevenue,,,,
sElleslisaitsunsmincesvolumes,,,,
scouverturesgrise,,,,
sLessdeuxscoinssdessasbouchessesrelevaientsparsmoments,,,,
setsuns,,,,
clairsdesplaisirsilluminaitssonsfront,,,,
sIlsjalousasceluisquisavaitsinvent,,,,
scesschosessdontsellesparaissaitsoccup,,,,
e,,,,
sPlussilslascontemplait,,,,
splussilssentaitsentresellesetsluissescreusersdessab,,,,
mes,,,,
sIlssongeaitsqu,,,,
ilsfaudraitslasquitterstouts,,,,
sl,,,,
heure,,,,
sirr,,,,
vocablement,,,,
ssanssensavoirsarrach,,,,
sunesparole,,,,
ssanssluislaissersm,,,,
mesunssouvenirs,,,,
ssUnesplainess,,,,
tendaits,,,,
sdroites,,,,
s,,,,
sgauchesunsherbagesallaitsdoucementsrejoindresunescolline,,,,
so,,,,
sl,,,,
onsapercevaitsdessvignobles,,,,
sdessnoyers,,,,
sunsmoulinsdansslasverdure,,,,
setsdesspetitsscheminssau,,,,
del,,,,
sformantsdesszigzagsssurslasrochesblanchesquistouchaitsausbordsdusciel,,,,
sQuelsbonheursdesmontersc,,,,
tes,,,,
sc,,,,
te,,,,
slesbrassautoursdessastaille,,,,
spendantsquessasrobesbalayeraitslessfeuillessjaunies,,,,
sens,,,,
coutantssasvoix,,,,
ssousslesrayonnementsdessessyeuxs,,,,
sLesbateauspouvaitss,,,,
arr,,,,
ter,,,,
silssn,,,,
avaientsqu,,,,
sdescendres,,,,
setscetteschosesbienssimplesn,,,,
taitspassplussfacile,,,,
scependant,,,,
squesdesremuerslessoleils,,,,
ssUnspeusplussloin,,,,
sonsd,,,,
couvritsunsch,,,,
teau,,,,
s,,,,
stoitspointu,,,,
savecsdesstourellesscarr,,,,
es,,,,
sUnsparterresdesfleursss,,,,
talaitsdevantssasfa,,,,
ades,,,,
setsdessavenuesss,,,,
enfon,,,,
aient,,,,
scommesdessvo,,,,
tessnoires,,,,
ssousslesshautsstilleuls,,,,
sIlsseslasfiguraspassantsausbordsdesscharmilles,,,,
sAscesmoment,,,,
sunesjeunesdamesetsunsjeuneshommessesmontr,,,,
rentssurslesperron,,,,
sentreslesscaissessd,,,,
orangers,,,,
sPuisstoutsdisparut,,,,
ssLaspetitesfillesjouaitsautoursdeslui,,,,
sFr,,,,
d,,,,
ricsvoulutslasbaiser,,,,
sEllessescachasderri,,,,
ressasbonnes,,,,
ssasm,,,,
reslasgrondasdesn,,,,
trespassaimablespourslesmonsieursquisavaitssauv,,,,
ssonsch,,,,
le,,,,
sEtait,,,,
cesunesouverturesindirectes,,,,
ss,,,,
sVa,,,,
t,,,,
ellesenfinsmesparlers,,,,
s,,,,
ssesdemandait,,,,
il,,,,
ssLestempsspressait,,,,
sCommentsobtenirsunesinvitationschezsArnouxs,,,,
sEtsilsn,,,,
imaginasriensdesmieuxsquesdesluisfairesremarquerslascouleursdesl,,,,
automne,,,,
sensajoutants,,,,
ss,,,,
sVoil,,,,
sbient,,,,
tsl,,,,
hiver,,,,
slassaisonsdessbalssetsdessd,,,,
nerss,,,,
s,,,,
ssMaissArnouxs,,,,
taitstoutsoccup,,,,
sdessessbagages,,,,
sLasc,,,,
tesdesSurvillesapparut,,,,
slessdeuxspontsssesrapprochaient,,,,
sonslongeasunescorderie,,,,
sensuitesunesrang,,,,
esdesmaisonssbassess,,,,
silsysavait,,,,
sensdessous,,,,
sdessmarmitessdesgoudron,,,,
sdess,,,,
clatssdesboiss,,,,
setsdessgaminsscouraientssurslessable,,,,
sensfaisantslasroue,,,,
sFr,,,,
d,,,,
ricsreconnutsunshommesavecsunsgilets,,,,
smanches,,,,
silsluiscrias,,,,
ss,,,,
sD,,,,
p,,,,
che,,,,
toi,,,,
s,,,,
ssOnsarrivait,,,,
sIlscherchasp,,,,
niblementsArnouxsdansslasfoulesdesspassagers,,,,
setsl,,,,
autresr,,,,
ponditsensluisserrantslasmains,,,,
ss,,,,
sAusplaisir,,,,
schersmonsieurs,,,,
s,,,,
ssQuandsilsfutssurslesquai,,,,
sFr,,,,
d,,,,
ricssesretourna,,,,
sElles,,,,
taitspr,,,,
ssdusgouvernail,,,,
sdebout,,,,
sIlsluisenvoyasunsregardso,,,,
silsavaitst,,,,
ch,,,,
sdesmettrestoutessons,,,,
mescommess,,,,
ilsn,,,,
e,,,,
tsriensfait,,,,
sellesdemeurasimmobile,,,,
sPuis,,,,
ssanss,,,,
gardsauxssalutationssdessonsdomestiques,,,,
ss,,,,
sPourquoisn,,,,
as,,,,
tuspassamen,,,,
slasvoituresjusqu,,,,
icis,,,,
s,,,,
ssLesbonhommess,,,,
excusait,,,,
ss,,,,
sQuelsmaladroits,,,,
sDonne,,,,
moisdesl,,,,
argents,,,,
s,,,,
sEtsilsallasmangersdanssunesauberge,,,,
ssUnsquartsd,,,,
heuresapr,,,,
s,,,,
silseutsenviesd,,,,
entrerscommesparshasardsdansslascoursdessdiligences,,,,
sIlslasverraitsencore,,,,
speut,,,,
tres,,,,
ss,,,,
sAsquoisbons,,,,
s,,,,
ssesdit,,,,
il,,,,
ssEtsl,,,,
am,,,,
ricainesl,,,,
emporta,,,,
sLessdeuxschevauxsn,,,,
appartenaientspass,,,,
ssasm,,,,
re,,,,
sEllesavaitsemprunt,,,,
sceluisdesM,,,,
sChambrion,,,,
slesreceveur,,,,
spoursl,,,,
attelersaupr,,,,
ssdussien,,,,
sIsidore,,,,
spartislasveille,,,,
ss,,,,
taitsrepos,,,,
s,,,,
sBraysjusqu,,,,
aussoirsetsavaitscouch,,,,
s,,,,
sMontereau,,,,
ssisbiensqueslessb,,,,
tessrafra,,,,
chiesstrottaientslestement,,,,
ssDesschampssmoissonn,,,,
sssesprolongeaients,,,,
sn,,,,
ensplussfinir,,,,
sDeuxslignessd,,,,
arbressbordaientslasroute,,,,
slesstassdescaillouxssessucc,,,,
daients,,,,
setspeus,,,,
speu,,,,
sVilleneuve,,,,
Saint,,,,
Georges,,,,
sAblon,,,,
sCh,,,,
